,Ship,Date,Person 1,Person 2,Person 3,Person 4,Person 5,Person 6,Person 7
4802,Jason Grace/Piper McLean,16 Apr 2018,Jason,Piper,,,,,
4803,Hazel Levesque/Frank Zhang,16 Apr 2018,Hazel,Frank,,,,,
4804,Nico di Angelo/Will Solace,16 Apr 2018,Nico,Will,,,,,
4805,Nico di Angelo/Will Solace,16 Apr 2018,Nico,Will,,,,,
4806,Nico di Angelo/Will Solace,16 Apr 2018,Nico,Will,,,,,
4807,Nico di Angelo/Will Solace,16 Apr 2018,Nico,Will,,,,,
4808,Jason Grace/Piper McLean,13 Apr 2018,Jason,Piper,,,,,
4809,Hazel Levesque/Frank Zhang,13 Apr 2018,Hazel,Frank,,,,,
4810,Nico di Angelo/Will Solace,13 Apr 2018,Nico,Will,,,,,
4811,Nico di Angelo/Leo Valdez,13 Apr 2018,Nico,Leo,,,,,
4812,Annabeth Chase/Percy Jackson,13 Apr 2018,Annabeth,Percy,,,,,
4813,Ethan Nakamura/Alabaster Torrington,13 Apr 2018,Ethan,Alabaster Torrington,,,,,
4814,Nico di Angelo/Will Solace,13 Apr 2018,Nico,Will,,,,,
4815,Nico di Angelo/Will Solace,13 Apr 2018,Nico,Will,,,,,
4816,Annabeth Chase/Percy Jackson minor,13 Apr 2018,Annabeth,Percy,,,,,
4817,Jason Grace/Piper McLean minor,13 Apr 2018,Jason,Piper,,,,,
4818,Hazel Levesque/Frank Zhang minor,13 Apr 2018,Hazel,Frank,,,,,
4819,Nico di Angelo/Will Solace,13 Apr 2018,Nico,Will,,,,,
4820,Jason Grace/Percy Jackson,13 Apr 2018,Jason,Percy,,,,,
4821,Calypso/Percy Jackson,13 Apr 2018,Calypso,Percy,,,,,
4822,Leo Valdez/Original Character,13 Apr 2018,Leo,OC,,,,,
4823,Nico di Angelo/Will Solace,13 Apr 2018,Nico,Will,,,,,
4824,Annabeth Chase/Percy Jackson,13 Apr 2018,Annabeth,Percy,,,,,
4825,Jason Grace/Piper McLean,13 Apr 2018,Jason,Piper,,,,,
4826,Calypso/Leo Valdez,13 Apr 2018,Calypso,Leo,,,,,
4827,Nico di Angelo/Percy Jackson,13 Apr 2018,Nico,Percy,,,,,
4828,Nico di Angelo/Leo Valdez,13 Apr 2018,Nico,Leo,,,,,
4829,Jason Grace/Piper McLean,13 Apr 2018,Jason,Piper,,,,,
4830,Annabeth Chase/Percy Jackson,13 Apr 2018,Annabeth,Percy,,,,,
4831,Hazel Levesque/Frank Zhang,13 Apr 2018,Hazel,Frank,,,,,
4832,Nico di Angelo/Percy Jackson,13 Apr 2018,Nico,Percy,,,,,
4833,Nico di Angelo/Percy Jackson,13 Apr 2018,Nico,Percy,,,,,
4834,Jason Grace/Leo Valdez,13 Apr 2018,Jason,Leo,,,,,
4835,Leo Valdez/Frank Zhang,13 Apr 2018,Leo,Frank,,,,,
4836,Nico di Angelo/Will Solace,13 Apr 2018,Nico,Will,,,,,
4837,Nico di Angelo/Will Solace,13 Apr 2018,Nico,Will,,,,,
4838,Jason Grace/Percy Jackson,13 Apr 2018,Jason,Percy,,,,,
4839,Annabeth Chase/Percy Jackson,13 Apr 2018,Annabeth,Percy,,,,,
4840,Annabeth Chase/Piper McLean,10 Apr 2018,Annabeth,Piper,,,,,
4841,Annabeth Chase/Percy Jackson,10 Apr 2018,Annabeth,Percy,,,,,
4842,Jason Grace/Percy Jackson,10 Apr 2018,Jason,Percy,,,,,
4843,Nico di Angelo/Percy Jackson,10 Apr 2018,Nico,Percy,,,,,
4844,Percy Jackson/Will Solace,10 Apr 2018,Percy,Will,,,,,
4845,Nico di Angelo/Will Solace,10 Apr 2018,Nico,Will,,,,,
4846,Apollo/Zephyrus,10 Apr 2018,Apollo,Zephyrus,,,,,
4847,Annabeth Chase/Clarisse La Rue,10 Apr 2018,Annabeth,Clarisse,,,,,
4848,Nico di Angelo/Will Solace,10 Apr 2018,Nico,Will,,,,,
4849,Jason Grace/Piper McLean,10 Apr 2018,Jason,Piper,,,,,
4850,Nico di Angelo/Will Solace,10 Apr 2018,Nico,Will,,,,,
4851,Annabeth Chase/Piper McLean,10 Apr 2018,Annabeth,Piper,,,,,
4852,Jason Grace/Piper McLean,10 Apr 2018,Jason,Piper,,,,,
4853,Annabeth Chase/Piper McLean,10 Apr 2018,Annabeth,Piper,,,,,
4854,Jason Grace/Percy Jackson,10 Apr 2018,Jason,Percy,,,,,
4855,Hazel Levesque/Frank Zhang,10 Apr 2018,Hazel,Frank,,,,,
4856,Nico di Angelo/Will Solace,10 Apr 2018,Nico,Will,,,,,
4857,Nico di Angelo/Jason Grace,10 Apr 2018,Nico,Jason,,,,,
4858,Background Will Solace/Nico di Angelo,10 Apr 2018,Will,Nico,,,,,
4859,Annabeth Chase/Percy Jackson,10 Apr 2018,Annabeth,Percy,,,,,
4860,Nico di Angelo/Will Solace,10 Apr 2018,Nico,Will,,,,,
4861,Annabeth Chase/Percy Jackson,10 Apr 2018,Annabeth,Percy,,,,,
4862,Leo Valdez/Jason Grace,07 Apr 2018,Leo,Jason,,,,,
4863,Thalia Grace/Percy Jackson,07 Apr 2018,Thalia,Percy,,,,,
4864,Annabeth Chase/Percy Jackson,07 Apr 2018,Annabeth,Percy,,,,,
4865,Nico di Angelo/Will Solace,07 Apr 2018,Nico,Will,,,,,
4866,Jason Grace/Piper McLean,07 Apr 2018,Jason,Piper,,,,,
4867,Jason Grace/Reyna Avila Ramírez-Arellano,07 Apr 2018,Jason,Reyna,,,,,
4868,Nico di Angelo/Will Solace,07 Apr 2018,Nico,Will,,,,,
4869,Juniper/Grover Underwood,07 Apr 2018,Juniper,Grover,,,,,
4870,Annabeth Chase/Percy Jackson,07 Apr 2018,Annabeth,Percy,,,,,
4871,Annabeth Chase/Percy Jackson,07 Apr 2018,Annabeth,Percy,,,,,
4872,Nico di Angelo/Will Solace,07 Apr 2018,Nico,Will,,,,,
4873,Thalia Grace/Reyna Avila Ramírez-Arellano,07 Apr 2018,Thalia,Reyna,,,,,
4874,Nico di Angelo/Will Solace,07 Apr 2018,Nico,Will,,,,,
4875,Nico di Angelo/Percy Jackson,07 Apr 2018,Nico,Percy,,,,,
4876,Past Annabeth Chase/Percy Jackson - Relationship,07 Apr 2018,Annabeth,Percy,,,,,
4877,Annabeth Chase/Percy Jackson,07 Apr 2018,Annabeth,Percy,,,,,
4878,Hazel Levesque/Frank Zhang,07 Apr 2018,Hazel,Frank,,,,,
4879,Nico di Angelo/Will Solace,07 Apr 2018,Nico,Will,,,,,
4880,Nico di Angelo/Will Solace,07 Apr 2018,Nico,Will,,,,,
4881,Jason Grace/Piper McLean,07 Apr 2018,Jason,Piper,,,,,
4882,Nico di Angelo/Will Solace,07 Apr 2018,Nico,Will,,,,,
4883,Nico di Angelo/Percy Jackson,07 Apr 2018,Nico,Percy,,,,,
4884,Annabeth Chase/Percy Jackson,06 Apr 2018,Annabeth,Percy,,,,,
4885,Nico di Angelo/Will Solace,06 Apr 2018,Nico,Will,,,,,
4886,Calypso/Leo Valdez,06 Apr 2018,Calypso,Leo,,,,,
4887,Jason Grace/Piper McLean,06 Apr 2018,Jason,Piper,,,,,
4888,Clarisse La Rue/Chris Rodriguez,06 Apr 2018,Clarisse,Chris,,,,,
4889,Hazel Levesque/Frank Zhang,06 Apr 2018,Hazel,Frank,,,,,
4890,Annabeth Chase/Percy Jackson,06 Apr 2018,Annabeth,Percy,,,,,
4891,Nico di Angelo/Percy Jackson,06 Apr 2018,Nico,Percy,,,,,
4892,Nico di Angelo/Will Solace,06 Apr 2018,Nico,Will,,,,,
4893,Nico di Angelo/Will Solace,06 Apr 2018,Nico,Will,,,,,
4894,Cecil Markowitz/Original Character,06 Apr 2018,Cecil Markowitz,OC,,,,,
4895,Mitchell/Connor Stoll,06 Apr 2018,Mitchell,Connor,,,,,
4896,Nico di Angelo/Will Solace,06 Apr 2018,Nico,Will,,,,,
4897,Annabeth Chase/Percy Jackson,06 Apr 2018,Annabeth,Percy,,,,,
4898,Jason Grace/Piper McLean,06 Apr 2018,Jason,Piper,,,,,
4899,Nico di Angelo/Will Solace,06 Apr 2018,Nico,Will,,,,,
4900,Jason Grace/Piper McLean,06 Apr 2018,Jason,Piper,,,,,
4901,Nico di Angelo/Will Solace,06 Apr 2018,Nico,Will,,,,,
4902,Hylla Ramírez-Arellano/Original Male Character,06 Apr 2018,Hylla,OC,,,,,
4903,Nico di Angelo/Percy Jackson/Alabaster Torrington,06 Apr 2018,Nico,Percy,Alabaster Torrington,,,,
4904,Nico di Angelo/Percy Jackson,06 Apr 2018,Nico,Percy,,,,,
4905,Nico di Angelo/Alabaster Torrington,06 Apr 2018,Nico,Alabaster Torrington,,,,,
4906,Percy Jackson/Alabaster Torrington,06 Apr 2018,Percy,Alabaster Torrington,,,,,
4907,Nico di Angelo/Percy Jackson,06 Apr 2018,Nico,Percy,,,,,
4908,Annabeth Chase/Percy Jackson,06 Apr 2018,Annabeth,Percy,,,,,
4909,Nico di Angelo/Percy Jackson,06 Apr 2018,Nico,Percy,,,,,
4910,Annabeth Chase/Reyna Avila Ramírez-Arellano,06 Apr 2018,Annabeth,Reyna,,,,,
4911,Nico di Angelo/Will Solace,06 Apr 2018,Nico,Will,,,,,
4912,Annabeth Chase/Percy Jackson,06 Apr 2018,Annabeth,Percy,,,,,
4913,Jason Grace/Piper McLean,06 Apr 2018,Jason,Piper,,,,,
4914,Hazel Levesque/Frank Zhang,06 Apr 2018,Hazel,Frank,,,,,
4915,Calypso/Leo Valdez,06 Apr 2018,Calypso,Leo,,,,,
4916,Nico di Angelo/Will Solace,03 Apr 2018,Nico,Will,,,,,
4917,Nico di Angelo/Percy Jackson,03 Apr 2018,Nico,Percy,,,,,
4918,Jason Grace/Percy Jackson,03 Apr 2018,Jason,Percy,,,,,
4919,Nico di Angelo/Will Solace,03 Apr 2018,Nico,Will,,,,,
4920,Nico di Angelo/Will Solace,03 Apr 2018,Nico,Will,,,,,
4921,Annabeth Chase/Percy Jackson,03 Apr 2018,Annabeth,Percy,,,,,
4922,Aphrodite/Drew Tanaka's Mother,03 Apr 2018,Aphrodite,Drew,,,,,
4923,Zoë Nightshade/Drew Tanaka,03 Apr 2018,Zo,Drew,,,,,
4924,Annabeth Chase/Percy Jackson,03 Apr 2018,Annabeth,Percy,,,,,
4925,Silena Beauregard/Charles Beckendorf,03 Apr 2018,Silena,Charles,,,,,
4926,Jason Grace/Reader,03 Apr 2018,Jason,Reader,,,,,
4927,Jason Grace/Percy Jackson,03 Apr 2018,Jason,Percy,,,,,
4928,Annabeth Chase/Piper McLean,03 Apr 2018,Annabeth,Piper,,,,,
4929,Annabeth Chase/Percy Jackson,03 Apr 2018,Annabeth,Percy,,,,,
4930,Apollo/Naomi Solace,03 Apr 2018,Apollo,Naomi Solace,,,,,
4931,Nico di Angelo/Will Solace,03 Apr 2018,Nico,Will,,,,,
4932,Hades/Persephone ,03 Apr 2018,Hades,Persephone,,,,,
4933,Nico di Angelo/Will Solace,03 Apr 2018,Nico,Will,,,,,
4934,Jason Grace/Piper McLean,03 Apr 2018,Jason,Piper,,,,,
4935,Annabeth Chase/Percy Jackson,03 Apr 2018,Annabeth,Percy,,,,,
4936,Nico di Angelo/Will Solace,03 Apr 2018,Nico,Will,,,,,
4937,Annabeth Chase/Percy Jackson,03 Apr 2018,Annabeth,Percy,,,,,
4938,Jason Grace/Piper McLean,03 Apr 2018,Jason,Piper,,,,,
4939,Nico di Angelo/Will Solace,03 Apr 2018,Nico,Will,,,,,
4940,Hazel Levesque/Frank Zhang,03 Apr 2018,Hazel,Frank,,,,,
4941,Calypso/Leo Valdez,03 Apr 2018,Calypso,Leo,,,,,
4942,Annabeth Chase/Percy Jackson,03 Apr 2018,Annabeth,Percy,,,,,
4943,Annabeth Chase/Percy Jackson,01 Apr 2018,Annabeth,Percy,,,,,
4944,Jason Grace/Reyna Avila Ramírez-Arellano,01 Apr 2018,Jason,Reyna,,,,,
4945,Annabeth Chase/Piper McLean,01 Apr 2018,Annabeth,Piper,,,,,
4946,Jason Grace/Percy Jackson ,01 Apr 2018,Jason,Percy,,,,,
4947,Hazel Levesque/Frank Zhang ,01 Apr 2018,Hazel,Frank,,,,,
4948,Hazel Levesque/Sammy Valdez ,01 Apr 2018,Hazel,Sam,,,,,
4949,Nico di Angelo/Jason Grace,01 Apr 2018,Nico,Jason,,,,,
4950,Hermes/Percy Jackson,01 Apr 2018,Hermes,Percy,,,,,
4951,Nico di Angelo/Percy Jackson,01 Apr 2018,Nico,Percy,,,,,
4952,Percy Jackson/Luke Castellan/Charles Beckendorf,01 Apr 2018,Percy,Luke,Charles,,,,
4953,Percy Jackson/Zeus,01 Apr 2018,Percy,Zeus,,,,,
4954,Nico di Angelo/Will Solace,01 Apr 2018,Nico,Will,,,,,
4955,Percy Jackson/Grover Underwood,01 Apr 2018,Percy,Grover,,,,,
4956,Nico di Angelo/Will Solace,01 Apr 2018,Nico,Will,,,,,
4957,Nico di Angelo/OC,01 Apr 2018,Nico,OC,,,,,
4958,Nico di Angelo/ofc,01 Apr 2018,Nico,ofc,,,,,
4959,Annabeth Chase/Percy Jackson,01 Apr 2018,Annabeth,Percy,,,,,
4960,Jason Grace/Piper McLean,01 Apr 2018,Jason,Piper,,,,,
4961,Hazel Levesque/Frank Zhang,01 Apr 2018,Hazel,Frank,,,,,
4962,Calypso/Leo Valdez,01 Apr 2018,Calypso,Leo,,,,,
4963,Mitchell/Connor Stoll,01 Apr 2018,Mitchell,Connor,,,,,
4964,Nico di Angelo/Will Solace,01 Apr 2018,Nico,Will,,,,,
4965,Nico di Angelo/Percy Jackson,01 Apr 2018,Nico,Percy,,,,,
4966,Annabeth Chase/Percy Jackson,01 Apr 2018,Annabeth,Percy,,,,,
4967,Nico di Angelo/Will Solace,01 Apr 2018,Nico,Will,,,,,
4968,Hazel Levesque/Frank Zhang,01 Apr 2018,Hazel,Frank,,,,,
4969,Jason Grace/Piper McLean,01 Apr 2018,Jason,Piper,,,,,
4970,Annabeth Chase/Percy Jackson,01 Apr 2018,Annabeth,Percy,,,,,
4971,Nico di Angelo/Will Solace,01 Apr 2018,Nico,Will,,,,,
4972,Nico di Angelo/Percy Jackson,01 Apr 2018,Nico,Percy,,,,,
4973,Rachel Elizabeth Dare/Percy Jackson,01 Apr 2018,Rachel,Percy,,,,,
4974,Nico di Angelo/Original Female Character,01 Apr 2018,Nico,OC,,,,,
4975,Jason Grace/Percy Jackson,01 Apr 2018,Jason,Percy,,,,,
4976,Nico di Angelo/Will Solace,01 Apr 2018,Nico,Will,,,,,
4977,Annabeth Chase/Piper McLean,01 Apr 2018,Annabeth,Piper,,,,,
4978,Hazel Levesque/Frank Zhang,01 Apr 2018,Hazel,Frank,,,,,
4979,Calypso/Leo Valdez,01 Apr 2018,Calypso,Leo,,,,,
4980,Silena Beauregard/Clarisse La Rue,01 Apr 2018,Silena,Clarisse,,,,,
4981,Nico di Angelo/Will Solace,01 Apr 2018,Nico,Will,,,,,
4982,Annabeth Chase/Nico di Angelo/Percy Jackson,01 Apr 2018,Annabeth,Nico,Percy,,,,
4983,Annabeth Chase/Percy Jackson,01 Apr 2018,Annabeth,Percy,,,,,
4984,Percy/Annabeth ,29 Mar 2018,Percy,Annabeth,,,,,
4985,Nico di Angelo/Jason Grace/Percy Jackson,29 Mar 2018,Nico,Jason,Percy,,,,
4986,Hazel Levesque/Leo Valdez/Frank Zhang,29 Mar 2018,Hazel,Leo,Frank,,,,
4987,Annabeth Chase/Piper McLean,29 Mar 2018,Annabeth,Piper,,,,,
4988,Jake Mason/Will Solace,29 Mar 2018,Jake Mason,Will,,,,,
4989,Luke Castellan/Kronos,29 Mar 2018,Luke,Kronos,,,,,
4990,Bianca di Angelo/Thalia Grace,29 Mar 2018,Bianca,Thalia,,,,,
4991,Thanatos/Triton ,29 Mar 2018,Thanatos,Triton ,,,,,
4992,Luke Castellan/OC,29 Mar 2018,Luke,OC,,,,,
4993,Luke Castellan/Tori Williams,29 Mar 2018,Luke,Will,,,,,
4994,Percy Jackson/Poseidon,29 Mar 2018,Percy,Poseidon,,,,,
4995,Princess,29 Mar 2018,Princess,,,,,,
4996,Nico di Angelo/Leo Valdez,29 Mar 2018,Nico,Leo,,,,,
4997,Thalia Grace/Reyna Avila Ramírez-Arellano,29 Mar 2018,Thalia,Reyna,,,,,
4998,Nico di Angelo/Will Solace,29 Mar 2018,Nico,Will,,,,,
4999,Nico di Angelo/Percy Jackson,29 Mar 2018,Nico,Percy,,,,,
5000,Nico di Angelo/Will Solace,29 Mar 2018,Nico,Will,,,,,
5001,Annabeth Chase/Percy Jackson,29 Mar 2018,Annabeth,Percy,,,,,
5002,Jason Grace/Percy Jackson,29 Mar 2018,Jason,Percy,,,,,
5003,Annabeth Chase/Percy Jackson,29 Mar 2018,Annabeth,Percy,,,,,
5004,Jason Grace/Piper McLean,29 Mar 2018,Jason,Piper,,,,,
5005,Juniper/Grover Underwood,29 Mar 2018,Juniper,Grover,,,,,
5006,Nico di Angelo/Will Solace,29 Mar 2018,Nico,Will,,,,,
5007,Hazel Levesque/Frank Zhang,29 Mar 2018,Hazel,Frank,,,,,
5008,Annabeth Chase/Percy Jackson,29 Mar 2018,Annabeth,Percy,,,,,
5009,Nico di Angelo/Will Solace,29 Mar 2018,Nico,Will,,,,,
5010,Nico di Angelo/Will Solace,29 Mar 2018,Nico,Will,,,,,
5011,Nico di Angelo/Jason Grace,29 Mar 2018,Nico,Jason,,,,,
5012,Nico di Angelo/Will Solace,29 Mar 2018,Nico,Will,,,,,
5013,Annabeth Chase/Percy Jackson,29 Mar 2018,Annabeth,Percy,,,,,
5014,Rachel Elizabeth Dare/Percy Jackson,29 Mar 2018,Rachel,Percy,,,,,
5015,Artemis/Percy Jackson,29 Mar 2018,Artemis,Percy,,,,,
5016,Calypso/Percy Jackson,29 Mar 2018,Calypso,Percy,,,,,
5017,Thalia Grace/Percy Jackson,29 Mar 2018,Thalia,Percy,,,,,
5018,Percy Jackson/Reyna Avila Ramírez-Arellano,29 Mar 2018,Percy,Reyna,,,,,
5019,Percy Jackson/Zoë Nightshade,29 Mar 2018,Percy,Zo,,,,,
5020,Percy Jackson/Piper McLean,29 Mar 2018,Percy,Piper,,,,,
5021,Nico di Angelo/Will Solace,27 Mar 2018,Nico,Will,,,,,
5022,Hazel Levesque/Frank Zhang,27 Mar 2018,Hazel,Frank,,,,,
5023,Annabeth Chase/Percy Jackson,27 Mar 2018,Annabeth,Percy,,,,,
5024,Jason Grace/Piper McLean,27 Mar 2018,Jason,Piper,,,,,
5025,Nico di Angelo/Will Solace,27 Mar 2018,Nico,Will,,,,,
5026,Nico di Angelo/Will Solace,27 Mar 2018,Nico,Will,,,,,
5027,Nico di Angelo/Will Solace,27 Mar 2018,Nico,Will,,,,,
5028,Annabeth Chase/Piper McLean,27 Mar 2018,Annabeth,Piper,,,,,
5029,Jason Grace/Percy Jackson,27 Mar 2018,Jason,Percy,,,,,
5030,Jason Grace/Percy Jackson,27 Mar 2018,Jason,Percy,,,,,
5031,Piper McLean/Leo Valdez,27 Mar 2018,Piper,Leo,,,,,
5032,Hades/Persephone/Percy Jackson,27 Mar 2018,Hades,Persephone,Percy,,,,
5033,Hades/Percy Jackson,27 Mar 2018,Hades,Percy,,,,,
5034,Persephone/Percy Jackson,27 Mar 2018,Persephone,Percy,,,,,
5035,Artemis/Percy Jackson,27 Mar 2018,Artemis,Percy,,,,,
5036,Apollo/Percy Jackson,27 Mar 2018,Apollo,Percy,,,,,
5037,Aphrodite/Percy Jackson,27 Mar 2018,Aphrodite,Percy,,,,,
5038,Poseidon/Percy Jackson,27 Mar 2018,Poseidon,Percy,,,,,
5039,Zeus/Hera/Percy Jackson,27 Mar 2018,Zeus,Hera,Percy,,,,
5040,Zeus/Percy Jackson,27 Mar 2018,Zeus,Percy,,,,,
5041,Hera/Percy Jackson,27 Mar 2018,Hera,Percy,,,,,
5042,Hermes/Percy Jackson,27 Mar 2018,Hermes,Percy,,,,,
5043,Ares/Percy Jackson,27 Mar 2018,Ares,Percy,,,,,
5044,Athena/Percy Jackson,27 Mar 2018,Athena,Percy,,,,,
5045,Hephaestus/Percy Jackson,27 Mar 2018,Hephaestus,Percy,,,,,
5046,Dionysus/Percy Jackson,27 Mar 2018,Dionysus,Percy,,,,,
5047,Demeter/Percy Jackson,27 Mar 2018,Demeter,Percy,,,,,
5048,Paul Blofis/Sally Jackson,27 Mar 2018,Paul Blofis,Sally,,,,,
5049,Nico di Angelo/Will Solace,27 Mar 2018,Nico,Will,,,,,
5050,Annabeth Chase/Percy Jackson,27 Mar 2018,Annabeth,Percy,,,,,
5051,Jason Grace/Piper McLean,27 Mar 2018,Jason,Piper,,,,,
5052,Hazel Levesque/Frank Zhang,27 Mar 2018,Hazel,Frank,,,,,
5053,Nico di Angelo/Percy Jackson,27 Mar 2018,Nico,Percy,,,,,
5054,Annabeth Chase/Percy Jackson,27 Mar 2018,Annabeth,Percy,,,,,
5055,Nico di Angelo/Will Solace,27 Mar 2018,Nico,Will,,,,,
5056,Nico di Angelo/Will Solace,27 Mar 2018,Nico,Will,,,,,
5057,Hazel Levesque/Frank Zhang,27 Mar 2018,Hazel,Frank,,,,,
5058,Luke Castellan/Percy Jackson,27 Mar 2018,Luke,Percy,,,,,
5059,Nico di Angelo/Percy Jackson,27 Mar 2018,Nico,Percy,,,,,
5060,Annabeth Chase/Percy Jackson,27 Mar 2018,Annabeth,Percy,,,,,
5061,Nico di Angelo/Will Solace,27 Mar 2018,Nico,Will,,,,,
5062,Nico di Angelo/Will Solace,27 Mar 2018,Nico,Will,,,,,
5063,Hades ,27 Mar 2018,Hades,,,,,,
5064,Hera/Zeus,27 Mar 2018,Hera,Zeus,,,,,
5065,Annabeth Chase/Percy Jackson,27 Mar 2018,Annabeth,Percy,,,,,
5066,Sally Jackson/Poseidon,27 Mar 2018,Sally,Poseidon,,,,,
5067,Jason Grace/Percy Jackson,24 Mar 2018,Jason,Percy,,,,,
5068,Luke Castellan/Percy Jackson,24 Mar 2018,Luke,Percy,,,,,
5069,Paul Blofis/Sally Jackson,24 Mar 2018,Paul Blofis,Sally,,,,,
5070,Nico di Angelo/Jason Grace,24 Mar 2018,Nico,Jason,,,,,
5071,Percy Jackson/Annabeth Chase,24 Mar 2018,Percy,Annabeth,,,,,
5072,Nico di Angelo/Will Solace,24 Mar 2018,Nico,Will,,,,,
5073,Quincy Woods/Lucy Shanson,24 Mar 2018,Quincy Woods,Lucy Shanson,,,,,
5074,Annabeth Chase/Piper McLean,24 Mar 2018,Annabeth,Piper,,,,,
5075,Jason Grace/Percy Jackson,24 Mar 2018,Jason,Percy,,,,,
5076,Annabeth Chase/Percy Jackson,24 Mar 2018,Annabeth,Percy,,,,,
5077,Jason Grace/Piper McLean,24 Mar 2018,Jason,Piper,,,,,
5078,Nico di Angelo/Will Solace,24 Mar 2018,Nico,Will,,,,,
5079,Luke Castellan/Thalia Grace,24 Mar 2018,Luke,Thalia,,,,,
5080,Annabeth Chase/Percy Jackson,24 Mar 2018,Annabeth,Percy,,,,,
5081,Original Female Character/Original Male Character,24 Mar 2018,OC,OC,,,,,
5082,Nico di Angelo/Will Solace,24 Mar 2018,Nico,Will,,,,,
5083,Annabeth Chase/Percy Jackson,24 Mar 2018,Annabeth,Percy,,,,,
5084,Jason Grace/Piper McLean,24 Mar 2018,Jason,Piper,,,,,
5085,Calypso/Leo Valdez,24 Mar 2018,Calypso,Leo,,,,,
5086,Hazel Levesque/Frank Zhang,24 Mar 2018,Hazel,Frank,,,,,
5087,Hades/Persephone ,24 Mar 2018,Hades,Persephone,,,,,
5088,Nico di Angelo/Will Solace,24 Mar 2018,Nico,Will,,,,,
5089,minor Jason Grace/Piper Mclean - Relationship,24 Mar 2018,Jason,Piper,,,,,
5090,Nico di Angelo/Percy Jackson,24 Mar 2018,Nico,Percy,,,,,
5091,Luke Castellan/Percy Jackson,24 Mar 2018,Luke,Percy,,,,,
5092,Nico di Angelo/Will Solace,24 Mar 2018,Nico,Will,,,,,
5093,Percy Jackson/Will Solace,24 Mar 2018,Percy,Will,,,,,
5094,Nico di Angelo/Percy Jackson,24 Mar 2018,Nico,Percy,,,,,
5095,Travis Stoll/Reader,24 Mar 2018,Travis,Reader,,,,,
5096,Travis Stoll/You,24 Mar 2018,Travis,Reader,,,,,
5097,Annabeth Chase/Percy Jackson,24 Mar 2018,Annabeth,Percy,,,,,
5098,Nico di Angelo/Will Solace,24 Mar 2018,Nico,Will,,,,,
5099,Nico di Angelo/Will Solace,24 Mar 2018,Nico,Will,,,,,
5100,Nico di Angelo/Percy Jackson,21 Mar 2018,Nico,Percy,,,,,
5101,Luke Castellan/Thalia Grace,21 Mar 2018,Luke,Thalia,,,,,
5102,Annabeth Chase/Thalia Grace,21 Mar 2018,Annabeth,Thalia,,,,,
5103,Thalia Grace/Percy Jackson,21 Mar 2018,Thalia,Percy,,,,,
5104,Annabeth Chase/Percy Jackson,21 Mar 2018,Annabeth,Percy,,,,,
5105,Nico di Angelo/Will Solace,21 Mar 2018,Nico,Will,,,,,
5106,Minor Percy Jackson/Annabeth Chase,21 Mar 2018,Percy,Annabeth,,,,,
5107,Minor Hazel Levesque/Frank Zhang - Relationship,21 Mar 2018,Hazel,Frank,,,,,
5108,Nico/Will,21 Mar 2018,Nico,Will,,,,,
5109,Will/Nico,21 Mar 2018,Will,Nico,,,,,
5110,Nico di Angelo/Will Solace,21 Mar 2018,Nico,Will,,,,,
5111,Nico di Angelo/Will Solace,21 Mar 2018,Nico,Will,,,,,
5112,Annabeth Chase/Percy Jackson,21 Mar 2018,Annabeth,Percy,,,,,
5113,Jason Grace/Piper McLean,21 Mar 2018,Jason,Piper,,,,,
5114,Hazel Levesque/Frank Zhang,21 Mar 2018,Hazel,Frank,,,,,
5115,Katie Gardner/Travis Stoll,21 Mar 2018,Katie,Travis,,,,,
5116,Miranda Gardiner/Connor Stoll,21 Mar 2018,Miranda Gardiner,Connor,,,,,
5117,Nico di Angelo/Will Solace,21 Mar 2018,Nico,Will,,,,,
5118,Piper McLean/Leo Valdez,21 Mar 2018,Piper,Leo,,,,,
5119,Drew Tanaka/Connor Stoll,21 Mar 2018,Drew,Connor,,,,,
5120,Jason Grace/Leo Valdez,21 Mar 2018,Jason,Leo,,,,,
5121,Nico di Angelo/Will Solace,21 Mar 2018,Nico,Will,,,,,
5122,Nico di Angelo/Jason Grace,21 Mar 2018,Nico,Jason,,,,,
5123,Nico di Angelo/Will Solace,21 Mar 2018,Nico,Will,,,,,
5124,Jason Grace/Percy Jackson,21 Mar 2018,Jason,Percy,,,,,
5125,Annabeth Chase/Piper McLean,21 Mar 2018,Annabeth,Piper,,,,,
5126,Nico di Angelo/Will Solace,21 Mar 2018,Nico,Will,,,,,
5127,Jason Grace/Percy Jackson,21 Mar 2018,Jason,Percy,,,,,
5128,Annabeth Chase/Percy Jackson,21 Mar 2018,Annabeth,Percy,,,,,
5129,Jason Grace/Piper McLean,21 Mar 2018,Jason,Piper,,,,,
5130,Nico di Angelo/Will Solace,21 Mar 2018,Nico,Will,,,,,
5131,Nico di Angelo/Will Solace,21 Mar 2018,Nico,Will,,,,,
5132,Annabeth Chase/Percy Jackson,21 Mar 2018,Annabeth,Percy,,,,,
5133,Hazel Levesque/Leo Valdez/Frank Zhang,21 Mar 2018,Hazel,Leo,Frank,,,,
5134,Jason Grace/Piper McLean,21 Mar 2018,Jason,Piper,,,,,
5135,Mitchell/Connor Stoll,21 Mar 2018,Mitchell,Connor,,,,,
5136,Hades/Persephone ,21 Mar 2018,Hades,Persephone,,,,,
5137,Jason Grace/Percy Jackson,21 Mar 2018,Jason,Percy,,,,,
