,Ship,Date,Person 1,Person 2,Person 3,Person 4,Person 5,Person 6,Person 7
258,Annabeth Chase/Percy Jackson,24 Mar 2019,Annabeth,Percy,,,,,
259,Hestia/Percy Jackson,22 Mar 2019,Hestia,Percy,,,,,
260,Annabeth Chase/Percy Jackson,22 Mar 2019,Annabeth,Percy,,,,,
261,Nico di Angelo/Will Solace,22 Mar 2019,Nico,Will,,,,,
262,Jason Grace/Piper McLean,22 Mar 2019,Jason,Piper,,,,,
263,Calypso/Leo Valdez,22 Mar 2019,Calypso,Leo,,,,,
264,Katie Gardner/Travis Stoll,22 Mar 2019,Katie,Travis,,,,,
265,Clarisse La Rue/Chris Rodriguez,22 Mar 2019,Clarisse,Chris,,,,,
266,Hazel Levesque/Frank Zhang,22 Mar 2019,Hazel,Frank,,,,,
267,Annabeth Chase/Percy Jackson,22 Mar 2019,Annabeth,Percy,,,,,
268,Juniper/Grover Underwood,22 Mar 2019,Juniper,Grover,,,,,
269,Jason Grace/Piper McLean,22 Mar 2019,Jason,Piper,,,,,
270,Jason Grace/Percy Jackson ,22 Mar 2019,Jason,Percy,,,,,
271,Annabeth Chase/Jason Grace ,22 Mar 2019,Annabeth,Jason,,,,,
272,Reyna Avila Ramírez-Arellano/Frank Zhang,22 Mar 2019,Reyna,Frank,,,,,
273,Hazel Levesque/Leo Valdez,22 Mar 2019,Hazel,Leo,,,,,
274,Annabeth Chase/Percy Jackson,22 Mar 2019,Annabeth,Percy,,,,,
275,Annabeth Chase/Percy Jackson,22 Mar 2019,Annabeth,Percy,,,,,
276,Nico di Angelo/Percy Jackson,22 Mar 2019,Nico,Percy,,,,,
277,Hazel Levesque/Frank Zhang,22 Mar 2019,Hazel,Frank,,,,,
278,Nico di Angelo/Hades,22 Mar 2019,Nico,Hades,,,,,
279,Magnus Chase/Alex Fierro,22 Mar 2019,Magnus,Alex,,,,,
280,Annabeth Chase/Percy Jackson,22 Mar 2019,Annabeth,Percy,,,,,
281,Hazel Levesque/Leo Valdez/Frank Zhang,22 Mar 2019,Hazel,Leo,Frank,,,,
282,Annabeth Chase/Percy Jackson,22 Mar 2019,Annabeth,Percy,,,,,
283,Jason Grace/Piper McLean,22 Mar 2019,Jason,Piper,,,,,
284,Nico di Angelo/Will Solace,22 Mar 2019,Nico,Will,,,,,
285,Jason Grace/Percy Jackson,22 Mar 2019,Jason,Percy,,,,,
286,Calypso/Leo Valdez,22 Mar 2019,Calypso,Leo,,,,,
287,Hazel Levesque/Frank Zhang,22 Mar 2019,Hazel,Frank,,,,,
288,Annabeth Chase/Percy Jackson,22 Mar 2019,Annabeth,Percy,,,,,
289,Jason Grace/Piper McLean,22 Mar 2019,Jason,Piper,,,,,
290,Calypso/Leo Valdez,22 Mar 2019,Calypso,Leo,,,,,
291,Annabeth Chase/Percy Jackson,22 Mar 2019,Annabeth,Percy,,,,,
292,Hazel Levesque/Frank Zhang,22 Mar 2019,Hazel,Frank,,,,,
293,Jason Grace/Piper McLean,22 Mar 2019,Jason,Piper,,,,,
294,Nico di Angelo/Will Solace,22 Mar 2019,Nico,Will,,,,,
295,Annabeth Chase/Percy Jackson,22 Mar 2019,Annabeth,Percy,,,,,
296,Jason Grace/Piper McLean,22 Mar 2019,Jason,Piper,,,,,
297,Nico di Angelo/Will Solace,22 Mar 2019,Nico,Will,,,,,
298,Jason Grace/Piper McLean,22 Mar 2019,Jason,Piper,,,,,
299,Nico di Angelo/Percy Jackson,22 Mar 2019,Nico,Percy,,,,,
300,Jason Grace/Piper McLean,22 Mar 2019,Jason,Piper,,,,,
301,Sally Jackson/Poseidon,22 Mar 2019,Sally,Poseidon,,,,,
302,Nico di Angelo/Percy Jackson,22 Mar 2019,Nico,Percy,,,,,
303,Nico di Angelo/Jason Grace,22 Mar 2019,Nico,Jason,,,,,
304,Thalia Grace/Reyna Avila Ramírez-Arellano,20 Mar 2019,Thalia,Reyna,,,,,
305,Nico di Angelo/Will Solace,20 Mar 2019,Nico,Will,,,,,
306,Nico di Angelo/Percy Jackson,20 Mar 2019,Nico,Percy,,,,,
307,Jason Grace/Percy Jackson,20 Mar 2019,Jason,Percy,,,,,
308,Nico di Angelo/Jason Grace/Percy Jackson,20 Mar 2019,Nico,Jason,Percy,,,,
309,Nico di Angelo/Jason Grace,20 Mar 2019,Nico,Jason,,,,,
310,Annabeth Chase/Piper McLean,20 Mar 2019,Annabeth,Piper,,,,,
311,Annabeth Chase/Piper McLean/Reyna Avila Ramírez-Arellano,20 Mar 2019,Annabeth,Piper,Reyna,,,,
312,Annabeth Chase/Percy Jackson,20 Mar 2019,Annabeth,Percy,,,,,
313,Juniper/Grover Underwood,20 Mar 2019,Juniper,Grover,,,,,
314,Sally Jackson/Poseidon,20 Mar 2019,Sally,Poseidon,,,,,
315,Sally Jackson/Gabe Ugliano,20 Mar 2019,Sally,Gabe Ugliano,,,,,
316,Nico di Angelo/Percy Jackson,20 Mar 2019,Nico,Percy,,,,,
317,Hermes/Original Female Character,20 Mar 2019,Hermes,OC,,,,,
318,Annabeth Chase/Percy Jackson,20 Mar 2019,Annabeth,Percy,,,,,
319,Annabeth Chase/Percy Jackson,20 Mar 2019,Annabeth,Percy,,,,,
320,Nico di Angelo/Will Solace,20 Mar 2019,Nico,Will,,,,,
