Ship,Date
Bianca di Angelo/Thalia Grace,26 Mar 2019
Thalia Grace/Original Female Character,26 Mar 2019
Past Thalia Grace/Luke Castellan,26 Mar 2019
Piper McLean/Leo Valdez,26 Mar 2019
Piper McLean/Kayla Knowles/Leo Valdez,26 Mar 2019
Nico di Angelo & Travis Stoll & Connor Stoll,26 Mar 2019
Jason Grace/Percy Jackson,26 Mar 2019
Juniper/Grover Underwood,26 Mar 2019
Nico di Angelo/Leo Valdez,26 Mar 2019
Hazel Levesque/Frank Zhang,26 Mar 2019
Thalia Grace/Reyna Avila Ramírez-Arellano,26 Mar 2019
Annabeth Chase/Rachel Elizabeth Dare,26 Mar 2019
Jason Grace/Percy Jackson,26 Mar 2019
Nico di Angelo/Will Solace,26 Mar 2019
Annabeth Chase/Percy Jackson,26 Mar 2019
Nico di Angelo/Will Solace,26 Mar 2019
Nico di Angelo/Will Solace,26 Mar 2019
Annabeth Chase/Percy Jackson,26 Mar 2019
Minor or Background Relationship(s),26 Mar 2019
Annabeth Chase/Percy Jackson,26 Mar 2019
Annabeth Chase/Percy Jackson,26 Mar 2019
mentioned,26 Mar 2019
Annabeth Chase/Percy Jackson,26 Mar 2019
Nico di Angelo/Will Solace,26 Mar 2019
Jason Grace/Piper McLean,26 Mar 2019
Nico di Angelo/Will Solace,26 Mar 2019
Annabeth Chase/Percy Jackson,26 Mar 2019
Annabeth Chase/Percy Jackson,24 Mar 2019
Annabeth Chase/Percy Jackson,24 Mar 2019
Annabeth Chase/Percy Jackson,24 Mar 2019
Jason Grace/Piper McLean,24 Mar 2019
Nico di Angelo/Will Solace,24 Mar 2019
Nico di Angelo/Will Solace,24 Mar 2019
Hades/Persephone (Percy Jackson),24 Mar 2019
Luke Castellan/Thalia Grace,24 Mar 2019
Annabeth Chase/Percy Jackson,24 Mar 2019
Jason Grace/Piper McLean,24 Mar 2019
Juniper/Grover Underwood,24 Mar 2019
Bianca di Angelo & Nico di Angelo,24 Mar 2019
Calypso/Leo Valdez,24 Mar 2019
Luke Castellan/Ana Jackson,24 Mar 2019
Grover Underwood/Juniper,24 Mar 2019
Nico di Angelo/Leo Valdez,24 Mar 2019
Hazel Levesque/Frank Zhang,24 Mar 2019
Hades/Persephone (Percy Jackson),24 Mar 2019
Nico di Angelo/Will Solace (past),24 Mar 2019
Nico di Angelo/Will Solace,24 Mar 2019
Nico di Angelo & Hazel Levesque,24 Mar 2019
Nico di Angelo & Reyna Avila Ramírez-Arellano,24 Mar 2019
Nico di Angelo & Jason Grace,24 Mar 2019
Reyna Avila Ramírez-Arellano/Drew Tanaka,24 Mar 2019
Calypso/Percy Jackson,24 Mar 2019
Undecided really,24 Mar 2019
Nico di Angelo/Will Solace,24 Mar 2019
Nico di Angelo/Will Solace/Leo Valdez,24 Mar 2019
Annabeth Chase/Percy Jackson,24 Mar 2019
Annabeth Chase/Percy Jackson,24 Mar 2019
Jason Grace/Piper McLean,24 Mar 2019
Nico di Angelo/Will Solace,24 Mar 2019
Octavian/Reader,24 Mar 2019
Annabeth Chase/Percy Jackson,24 Mar 2019
Leo Valdez & Everyone,24 Mar 2019
Hestia/Percy Jackson,22 Mar 2019
Annabeth Chase/Percy Jackson,22 Mar 2019
Nico di Angelo/Will Solace,22 Mar 2019
Jason Grace/Piper McLean,22 Mar 2019
Calypso/Leo Valdez,22 Mar 2019
Katie Gardner/Travis Stoll,22 Mar 2019
Clarisse La Rue/Chris Rodriguez,22 Mar 2019
Jason Grace & Percy Jackson,22 Mar 2019
Nico di Angelo & Percy Jackson,22 Mar 2019
Hazel Levesque/Frank Zhang,22 Mar 2019
Annabeth Chase/Percy Jackson,22 Mar 2019
Juniper/Grover Underwood,22 Mar 2019
Jason Grace/Piper McLean,22 Mar 2019
Jason Grace/Percy Jackson (friends),22 Mar 2019
Annabeth Chase/Jason Grace (siblings),22 Mar 2019
Reyna Avila Ramírez-Arellano/Frank Zhang,22 Mar 2019
Hazel Levesque/Leo Valdez,22 Mar 2019
Apollo & Artemis (Percy Jackson),22 Mar 2019
Annabeth Chase/Percy Jackson,22 Mar 2019
Percy Jackson & Clarisse La Rue,22 Mar 2019
Percy Jackson & Grover Underwood,22 Mar 2019
Annabeth Chase/Percy Jackson,22 Mar 2019
Nico di Angelo/Percy Jackson,22 Mar 2019
Hazel Levesque/Frank Zhang,22 Mar 2019
Nico di Angelo/Hades,22 Mar 2019
Magnus Chase/Alex Fierro,22 Mar 2019
Annabeth Chase/Percy Jackson,22 Mar 2019
Hazel Levesque/Leo Valdez/Frank Zhang,22 Mar 2019
Annabeth Chase/Percy Jackson,22 Mar 2019
Jason Grace/Piper McLean,22 Mar 2019
Nico di Angelo/Will Solace,22 Mar 2019
Jason Grace/Percy Jackson,22 Mar 2019
Minor or Background Relationship(s),22 Mar 2019
Calypso & Leo Valdez,22 Mar 2019
Calypso/Leo Valdez,22 Mar 2019
Hazel Levesque/Frank Zhang,22 Mar 2019
Annabeth Chase/Percy Jackson,22 Mar 2019
Jason Grace/Piper McLean,22 Mar 2019
Calypso/Leo Valdez,22 Mar 2019
Annabeth Chase/Percy Jackson,22 Mar 2019
Hazel Levesque/Frank Zhang,22 Mar 2019
Jason Grace/Piper McLean,22 Mar 2019
Nico di Angelo/Will Solace,22 Mar 2019
Annabeth Chase/Percy Jackson,22 Mar 2019
Jason Grace/Piper McLean,22 Mar 2019
Nico di Angelo/Will Solace,22 Mar 2019
Jason Grace/Piper McLean,22 Mar 2019
Nico di Angelo/Percy Jackson,22 Mar 2019
Jason Grace/Piper McLean,22 Mar 2019
Sally Jackson/Poseidon,22 Mar 2019
Sally Jackson & Poseidon,22 Mar 2019
Nico di Angelo/Percy Jackson,22 Mar 2019
Nico di Angelo/Jason Grace,22 Mar 2019
Thalia Grace/Reyna Avila Ramírez-Arellano,20 Mar 2019
Nico di Angelo/Will Solace,20 Mar 2019
Nico di Angelo & Reyna Avila Ramírez-Arellano,20 Mar 2019
Thalia Grace & Will Solace,20 Mar 2019
Minor or Background Relationship(s),20 Mar 2019
Nico di Angelo/Percy Jackson,20 Mar 2019
Jason Grace/Percy Jackson,20 Mar 2019
Nico di Angelo/Jason Grace/Percy Jackson,20 Mar 2019
Annabeth Chase & Percy Jackson,20 Mar 2019
Nico di Angelo/Jason Grace,20 Mar 2019
Annabeth Chase/Piper McLean,20 Mar 2019
Annabeth Chase/Piper McLean/Reyna Avila Ramírez-Arellano,20 Mar 2019
Annabeth Chase/Percy Jackson,20 Mar 2019
Juniper/Grover Underwood,20 Mar 2019
Sally Jackson/Poseidon,20 Mar 2019
Percy Jackson & Sally Jackson,20 Mar 2019
Sally Jackson/Gabe Ugliano,20 Mar 2019
Sally Jackson & Rhea,20 Mar 2019
Nico di Angelo/Percy Jackson,20 Mar 2019
Hermes/Original Female Character,20 Mar 2019
Minor or Background Relationship(s),20 Mar 2019
Annabeth Chase/Percy Jackson,20 Mar 2019
Percy Jackson & Piper McLean,20 Mar 2019
Annabeth Chase/Percy Jackson,20 Mar 2019
Nico di Angelo/Will Solace,20 Mar 2019
Nico di Angelo/Will Solace,20 Mar 2019
Nico di Angelo/Percy Jackson,20 Mar 2019
Nico di Angelo & Jason Grace,20 Mar 2019
Temporary Annabeth Chase/Percy Jackson,20 Mar 2019
Annabeth Chase/Percy Jackson,20 Mar 2019
multiple canon side pairings,20 Mar 2019
Jason Grace/Percy Jackson,20 Mar 2019
Annabeth Chase/Piper McLean,20 Mar 2019
Nico di Angelo/Will Solace,20 Mar 2019
More to be added - Relationship,20 Mar 2019
Anubis/Nico di Angelo,20 Mar 2019
Nico di Angelo & Reyna Avila Ramírez-Arellano,20 Mar 2019
Percy Jackson/Leo Valdez,20 Mar 2019
Nico di Angelo/Jason Grace,20 Mar 2019
Jason Grace/Percy Jackson,20 Mar 2019
Jason Grace/Leo Valdez,20 Mar 2019
Nico di Angelo/Leo Valdez,20 Mar 2019
Nico di Angelo/Percy Jackson,20 Mar 2019
Nico di Angelo/Jason Grace/Percy Jackson/Leo Valdez,20 Mar 2019
Nico di Angelo/Will Solace,20 Mar 2019
Nico di Angelo/Will Solace,20 Mar 2019
Nico di Angelo/Will Solace,19 Mar 2019
Nico di Angelo & Will Solace,19 Mar 2019
Calypso/Leo Valdez,19 Mar 2019
Calypso/Leo Valdez,19 Mar 2019
Annabeth Chase/Percy Jackson,19 Mar 2019
Hazel Levesque/Frank Zhang,19 Mar 2019
Jason Grace/Piper McLean,19 Mar 2019
Annabeth Chase/Percy Jackson,19 Mar 2019
Jason Grace/Piper McLean,19 Mar 2019
Nico di Angelo & Reyna Avila Ramírez-Arellano,19 Mar 2019
Nico di Angelo/Will Solace,19 Mar 2019
Nico di Angelo & Will Solace,19 Mar 2019
Calypso/Leo Valdez,19 Mar 2019
Solangelo - Relationship,19 Mar 2019
Percico,19 Mar 2019
Will Solace/Nico di Angelo,19 Mar 2019
Minor Percy Jackson/Annabeth Chase,19 Mar 2019
minor Jason Grace/Piper Mclean - Relationship,19 Mar 2019
Annabeth Chase/Percy Jackson,19 Mar 2019
Annabeth Chase & Percy Jackson,19 Mar 2019
Nico di Angelo/Percy Jackson,19 Mar 2019
Nico di Angelo/Jason Grace,19 Mar 2019
Nico di Angelo/Will Solace,19 Mar 2019
Annabeth Chase/Piper McLean,19 Mar 2019
Hazel Levesque/Frank Zhang,19 Mar 2019
Calypso/Leo Valdez,19 Mar 2019
Paul Blofis/Sally Jackson,19 Mar 2019
Leo Valdez/Original Female Character(s),19 Mar 2019
Jason Grace/Piper McLean,19 Mar 2019
Annabeth Chase/Percy Jackson,19 Mar 2019
Hazel Levesque/Frank Zhang,19 Mar 2019
Nico di Angelo/Will Solace,19 Mar 2019
Gleeson Hedge/Mellie,19 Mar 2019
Clarisse La Rue/Chris Rodriguez,19 Mar 2019
Silena Beauregard/Charles Beckendorf,19 Mar 2019
Nico di Angelo/Percy Jackson,19 Mar 2019
Look inside for the other pairings,19 Mar 2019
Thalia Grace/Reyna Avila Ramírez-Arellano,19 Mar 2019
Annabeth Chase/Percy Jackson,19 Mar 2019
Hazel Levesque/Frank Zhang,19 Mar 2019
Jason Grace/Piper McLean,19 Mar 2019
Nico di Angelo/Will Solace,19 Mar 2019
Juniper/Grover Underwood,19 Mar 2019
Katie Gardner/Travis Stoll,19 Mar 2019
Mitchell/Connor Stoll,19 Mar 2019
Nico di Angelo/Percy Jackson,19 Mar 2019
Apollo & Meg McCaffrey,19 Mar 2019
Lester Papadopoulos & Meg McCaffrey,19 Mar 2019
Annabeth Chase/Percy Jackson,19 Mar 2019
Jason Grace/Piper McLean,19 Mar 2019
Annabeth Chase/Percy Jackson,19 Mar 2019
Annabeth Chase/Percy Jackson,18 Mar 2019
Calypso/Leo Valdez,18 Mar 2019
Jason Grace/Piper McLean,18 Mar 2019
Connor Stoll/Travis Stoll,18 Mar 2019
Nico di Angelo/Will Solace,18 Mar 2019
Jason Grace/Piper McLean,18 Mar 2019
Silena Beauregard/Charles Beckendorf,18 Mar 2019
Piper McLean & Leo Valdez,18 Mar 2019
Piper McLean & Silena Beauregard & Drew Tanaka,18 Mar 2019
