Ship,Date
Annabeth Chase/Percy Jackson,18 Mar 2019
Annabeth Chase/Percy Jackson,18 Mar 2019
Percy Jackson/Clarisse La Rue,18 Mar 2019
Nico di Angelo/Will Solace,18 Mar 2019
Jason Grace/Piper McLean,18 Mar 2019
Hazel Levesque/Frank Zhang,18 Mar 2019
Annabeth Chase/Percy Jackson,18 Mar 2019
Percy Jackson/Zoë Nightshade,18 Mar 2019
Bianca di Angelo/Luke Castellan,18 Mar 2019
Nico di Angelo/Will Solace,18 Mar 2019
Nico di Angelo/Will Solace,18 Mar 2019
Jason Grace/Piper McLean,18 Mar 2019
Annabeth Chase/Percy Jackson,18 Mar 2019
Hazel Levesque/Frank Zhang,18 Mar 2019
Calypso/Leo Valdez,18 Mar 2019
Nico di Angelo/Will Solace,18 Mar 2019
Thalia Grace/Reyna Avila Ramírez-Arellano,18 Mar 2019
Annabeth Chase & Percy Jackson,18 Mar 2019
Jason Grace/Piper McLean,18 Mar 2019
Hazel Levesque/Frank Zhang,18 Mar 2019
Annabeth Chase & Percy Jackson & Grover Underwood,18 Mar 2019
Percy Jackson & Sally Jackson,18 Mar 2019
Aphrodite/Sally Jackson,18 Mar 2019
Nico di Angelo/Jason Grace,18 Mar 2019
Calypso/Leo Valdez,18 Mar 2019
Octavian/Leo Valdez,18 Mar 2019
Jason Grace/Percy Jackson,18 Mar 2019
Nico di Angelo/Will Solace,18 Mar 2019
Nico di Angelo & Percy Jackson,18 Mar 2019
Jason Grace & Piper McLean,18 Mar 2019
Bianca di Angelo & Nico di Angelo,18 Mar 2019
Annabeth Chase/Percy Jackson,18 Mar 2019
Annabeth Chase & Percy Jackson & Grover Underwood,18 Mar 2019
Percy Jackson & Sally Jackson,18 Mar 2019
Annabeth Chase/Percy Jackson,15 Mar 2019
Jason Grace/Piper McLean,15 Mar 2019
Nico di Angelo/Will Solace,15 Mar 2019
Malcolm Pace/Original Character(s),15 Mar 2019
Annabeth Chase/Percy Jackson (Mentioned),15 Mar 2019
Nico di Angelo/Will Solace,15 Mar 2019
Bianca di Angelo & Nico di Angelo,15 Mar 2019
Nico di Angelo & Jason Grace,15 Mar 2019
Tori/Luke Castellan,15 Mar 2019
Nico di Angelo/Will Solace,15 Mar 2019
Annabeth Chase/Percy Jackson,15 Mar 2019
Nico di Angelo & Will Solace,15 Mar 2019
Annabeth Chase & Percy Jackson,15 Mar 2019
Thalia Grace/Percy Jackson,15 Mar 2019
Thalia Grace & Percy Jackson,15 Mar 2019
Luke Castellan/Thalia Grace,15 Mar 2019
Nico di Angelo/Will Solace,15 Mar 2019
Thalia Grace/Reyna Avila Ramírez-Arellano,15 Mar 2019
Annabeth Chase & Percy Jackson,15 Mar 2019
Nico di Angelo/Will Solace,15 Mar 2019
Luke Castellan/Thalia Grace,15 Mar 2019
Annabeth Chase/Percy Jackson,15 Mar 2019
Hades/OC - Relationship,15 Mar 2019
Apollo & Hermes (Percy Jackson),15 Mar 2019
Solangelo - Relationship,15 Mar 2019
Nico di Angelo/Will Solace,15 Mar 2019
Nico di Angelo & Will Solace,15 Mar 2019
Annabeth Chase/Percy Jackson,15 Mar 2019
Nico di Angelo/Will Solace,15 Mar 2019
Percy Jackson/Piper McLean,15 Mar 2019
Jason Grace/Piper McLean,15 Mar 2019
Rachel Elizabeth Dare/Percy Jackson,15 Mar 2019
Luke Castellan/Thalia Grace,15 Mar 2019
Percy Jackson/Reyna Avila Ramírez-Arellano,15 Mar 2019
Silena Beauregard/Percy Jackson,15 Mar 2019
Katie Gardner/Travis Stoll,15 Mar 2019
Paul Blofis/Sally Jackson,15 Mar 2019
Apollo/Reyna Avila Ramírez-Arellano,15 Mar 2019
Jason Grace/Reyna Avila Ramírez-Arellano,15 Mar 2019
Jason Grace/Percy Jackson,12 Mar 2019
Nico di Angelo/Will Solace,12 Mar 2019
Nico di Angelo/Will Solace,12 Mar 2019
Nico di Angelo & Will Solace,12 Mar 2019
Dean Solace/Felix Jackson,12 Mar 2019
Dean Solace & Nico di Angelo,12 Mar 2019
Felix Jackson & Nico di Angelo,12 Mar 2019
Will Solace & Dean Solace,12 Mar 2019
Annabeth Chase/Percy Jackson,12 Mar 2019
Jason Grace/Piper McLean,12 Mar 2019
Hazel Levesque/Frank Zhang,12 Mar 2019
Clarisse La Rue/Chris Rodriguez,12 Mar 2019
Katie Gardner/Travis Stoll,12 Mar 2019
Lou Ellen Blackstone/Connor Stoll,12 Mar 2019
Percy Jackson & Sally Jackson,12 Mar 2019
Connor Stoll & Travis Stoll,12 Mar 2019
Nico di Angelo/Percy Jackson,12 Mar 2019
Jason Grace/Percy Jackson,12 Mar 2019
Nico di Angelo/Will Solace,12 Mar 2019
Hazel Levesque/Frank Zhang,12 Mar 2019
Annabeth Chase/Percy Jackson,12 Mar 2019
Nico di Angelo/Percy Jackson,12 Mar 2019
Jason Grace/Leo Valdez,12 Mar 2019
Riley Patterson & Dionysus,12 Mar 2019
Nico di Angelo/Will Solace,12 Mar 2019
Minor or Background Relationship(s),12 Mar 2019
Annabeth Chase/Percy Jackson,12 Mar 2019
Annabeth Chase & Will Solace,12 Mar 2019
Nico di Angelo/Percy Jackson,12 Mar 2019
look inside for other pairings,12 Mar 2019
Luke Castellan/Thalia Grace,12 Mar 2019
Luke Castellan & Thalia Grace,12 Mar 2019
Luke Castellan & Annabeth Chase & Thalia Grace,12 Mar 2019
Nico di Angelo/Will Solace,12 Mar 2019
Nico di Angelo/Will Solace,12 Mar 2019
Nico di Angelo/Will Solace,12 Mar 2019
Nico di Angelo/Leo Valdez,12 Mar 2019
Jason Grace/Leo Valdez,12 Mar 2019
Annabeth Chase/Percy Jackson,12 Mar 2019
Jason Grace/Piper McLean,12 Mar 2019
Leo Valdez & Piper McLean,12 Mar 2019
Piper McLean & Annabeth Chase,12 Mar 2019
Silena Beauregard/Charles Beckendorf,12 Mar 2019
Nico di Angelo/Percy Jackson,12 Mar 2019
Annabeth Chase/Percy Jackson,12 Mar 2019
Annabeth Chase/Percy Jackson,10 Mar 2019
Thalia Grace/Reyna Avila Ramírez-Arellano,10 Mar 2019
Jason Grace/Piper McLean,10 Mar 2019
Annabeth Chase/Percy Jackson,10 Mar 2019
Hazel Levesque/Leo Valdez/Frank Zhang,10 Mar 2019
Nico di Angelo/Will Solace,10 Mar 2019
Magnus Chase/Alex Fierro,10 Mar 2019
Nico di Angelo/Will Solace,10 Mar 2019
Annabeth Chase/Percy Jackson,10 Mar 2019
Katie Gardner/Travis Stoll,10 Mar 2019
Calypso/Leo Valdez,10 Mar 2019
Hazel Levesque/Frank Zhang,10 Mar 2019
Halfborn Gunderson/Mallory Keen,10 Mar 2019
Blitzen & Hearthstone,10 Mar 2019
Juniper/Grover Underwood,10 Mar 2019
"Hemithea | Emmie/Josephine ""Jo""",10 Mar 2019
Juniper/Grover Underwood,10 Mar 2019
Luke Castellan/Thalia Grace,10 Mar 2019
Luke Castellan/Annabeth Chase (past),10 Mar 2019
Percy Jackson/Rachel Elizabeth Dare (past),10 Mar 2019
Original Character/Original Character,10 Mar 2019
Nico di Angelo/Rachel Elizabeth Dare,10 Mar 2019
Annabeth Chase/Percy Jackson,10 Mar 2019
Octavian/Reyna Avila Ramírez-Arellano,10 Mar 2019
Will Solace/Original Female Character(s),10 Mar 2019
Annabeth Chase/Piper McLean/Reyna Avila Ramírez-Arellano,10 Mar 2019
Nico di Angelo/Jason Grace/Percy Jackson,10 Mar 2019
Hazel Levesque/Leo Valdez/Frank Zhang,10 Mar 2019
Nico di Angelo/Will Solace,10 Mar 2019
Nico di Angelo/Percy Jackson,10 Mar 2019
look inside for side-pairings,10 Mar 2019
Percy Jackson/Leo Valdez,10 Mar 2019
pre-Solangelo,10 Mar 2019
Nico di Angelo/Will Solace,10 Mar 2019
Ophis (OC)/Alex Fierro,10 Mar 2019
Nico di Angelo/Will Solace,10 Mar 2019
Annabeth Chase/Percy Jackson,10 Mar 2019
Jason Grace/Piper McLean,10 Mar 2019
Calypso/Leo Valdez,10 Mar 2019
Hazel Levesque/Frank Zhang,10 Mar 2019
Nico di Angelo/Will Solace,10 Mar 2019
Gleeson Hedge/Mellie,10 Mar 2019
Annabeth Chase/Percy Jackson,10 Mar 2019
Juniper/Grover Underwood,10 Mar 2019
Clarisse La Rue/Chris Rodriguez,10 Mar 2019
Silena Beauregard/Charles Beckendorf,10 Mar 2019
Jason Grace/Reyna Avila Ramírez-Arellano,10 Mar 2019
Jason Grace/Piper McLean,10 Mar 2019
Rachel Elizabeth Dare/Percy Jackson,10 Mar 2019
Hazel Levesque/Frank Zhang,10 Mar 2019
Nico di Angelo/Will Solace,10 Mar 2019
Hazel Levesque/Frank Zhang,10 Mar 2019
Annabeth Chase/Percy Jackson,10 Mar 2019
Jason Grace/Piper McLean,10 Mar 2019
Thalia Grace/Reyna Avila Ramírez-Arellano,10 Mar 2019
Minor or Background Relationship(s),10 Mar 2019
Nico di Angelo/Will Solace,10 Mar 2019
Nico di Angelo/Percy Jackson,10 Mar 2019
Nico di Angelo/Will Solace,10 Mar 2019
Nico di Angelo & Will Solace,10 Mar 2019
Nico di Angelo/Will Solace,07 Mar 2019
Nico di Angelo/Will Solace,07 Mar 2019
Annabeth Chase/Percy Jackson,07 Mar 2019
Nico di Angelo/Will Solace,07 Mar 2019
Nico di Angelo/Will Solace,07 Mar 2019
Annabeth Chase/Percy Jackson,07 Mar 2019
Jason Grace/Piper McLean,07 Mar 2019
Hazel Levesque/Frank Zhang,07 Mar 2019
Annabeth Chase/Percy Jackson,07 Mar 2019
Nico di Angelo/Will Solace,07 Mar 2019
Jason Grace/Piper McLean,07 Mar 2019
Hazel Levesque/Frank Zhang,07 Mar 2019
Calypso/Leo Valdez,07 Mar 2019
Michael Kahale/Travis Stoll,07 Mar 2019
Jake Mason/Connor Stoll,07 Mar 2019
Connor Stoll/Travis Stoll,07 Mar 2019
Nico di Angelo/Will Solace,07 Mar 2019
Nico di Angelo & Percy Jackson,07 Mar 2019
Other Relationship Tags to Be Added,07 Mar 2019
past Percy Jackson/Annabeth Chase - Relationship,07 Mar 2019
Nico di Angelo/Percy Jackson,07 Mar 2019
Annabeth Chase/Percy Jackson,07 Mar 2019
Jason Grace/Piper McLean,07 Mar 2019
Hazel Levesque/Frank Zhang,07 Mar 2019
Nico di Angelo & Will Solace,07 Mar 2019
Nico di Angelo/Will Solace,07 Mar 2019
Nico di Angelo/Will Solace,07 Mar 2019
Nico di Angelo & Will Solace,07 Mar 2019
Nico di Angelo/Will Solace,07 Mar 2019
Nico di Angelo & Will Solace,07 Mar 2019
Nico di Angelo/Will Solace,07 Mar 2019
Nico di Angelo & Will Solace,07 Mar 2019
Nico di Angelo/Will Solace,07 Mar 2019
Nico di Angelo & Will Solace,07 Mar 2019
Nico di Angelo/Will Solace,07 Mar 2019
Nico di Angelo & Will Solace,07 Mar 2019
Nico di Angelo/Will Solace,07 Mar 2019
Nico di Angelo & Will Solace,07 Mar 2019
Nico di Angelo/Will Solace,07 Mar 2019
Nico di Angelo & Will Solace,07 Mar 2019
Nico di Angelo/Will Solace,06 Mar 2019
Nico di Angelo & Will Solace,06 Mar 2019
Nico di Angelo/Will Solace,06 Mar 2019
Nico di Angelo & Will Solace,06 Mar 2019
Nico di Angelo/Will Solace,06 Mar 2019
Nico di Angelo & Will Solace,06 Mar 2019
Nico di Angelo & Will Solace,06 Mar 2019
Nico di Angelo/Will Solace,06 Mar 2019
Nico di Angelo/Will Solace,06 Mar 2019
Nico di Angelo & Will Solace,06 Mar 2019
Nico di Angelo/Will Solace,06 Mar 2019
Nico di Angelo & Will Solace,06 Mar 2019
Hades/Percy Jackson,06 Mar 2019
Nico di Angelo/Will Solace,06 Mar 2019
Nico di Angelo & Will Solace,06 Mar 2019
Nico di Angelo & Will Solace,06 Mar 2019
Nico di Angelo/Will Solace,06 Mar 2019
Nico di Angelo/Will Solace,06 Mar 2019
Nico di Angelo & Will Solace,06 Mar 2019
Nico di Angelo/Will Solace,06 Mar 2019
Nico di Angelo & Will Solace,06 Mar 2019
Nico di Angelo/Will Solace,06 Mar 2019
Nico di Angelo & Will Solace,06 Mar 2019
Annabeth Chase/Percy Jackson,06 Mar 2019
Annabeth Chase/Percy Jackson,06 Mar 2019
Piper McLean/Reyna Avila Ramírez-Arellano,06 Mar 2019
Piper McLean/Jason Grace (past),06 Mar 2019
Annabeth Chase/Percy Jackson,06 Mar 2019
Hazel Levesque/Frank Zhang,06 Mar 2019
Jason Grace/Piper McLean,06 Mar 2019
Percy Jackson & Frank Zhang,06 Mar 2019
Annabeth Chase & Piper McLean,06 Mar 2019
Jason Grace/Percy Jackson (Jercy or Jasercy),06 Mar 2019
Annabeth Chase/Percy Jackson,04 Mar 2019
Nico di Angelo/Will Solace,04 Mar 2019
Nico di Angelo & Will Solace (main),04 Mar 2019
Artemis/Zoe Nightshade,04 Mar 2019
Hera/Hestia (Percy Jackson),04 Mar 2019
Nico di Angelo/Will Solace,04 Mar 2019
Jason Grace/Percy Jackson,04 Mar 2019
Luke Castellan & Percy Jackson,04 Mar 2019
Nico Di Angelo/Percy Jackson (implied),04 Mar 2019
Nico di Angelo/Will Solace,04 Mar 2019
Nico di Angelo & Will Solace,04 Mar 2019
Nico di Angelo/Will Solace,04 Mar 2019
Nico di Angelo & Will Solace,04 Mar 2019
Nico di Angelo & Will Solace,04 Mar 2019
Nico di Angelo/Will Solace,04 Mar 2019
Solangelo - Relationship,04 Mar 2019
Nico di Angelo/Will Solace,04 Mar 2019
Nico di Angelo & Will Solace,04 Mar 2019
Nico di Angelo/Will Solace,04 Mar 2019
Nico di Angelo & Will Solace,04 Mar 2019
Nico di Angelo/Will Solace,04 Mar 2019
Nico di Angelo & Will Solace,04 Mar 2019
Rachel Elizabeth Dare/Reyna Avila Ramírez-Arellano,04 Mar 2019
Nico di Angelo/Will Solace,04 Mar 2019
Annabeth Chase/Percy Jackson,04 Mar 2019
Jason Grace/Percy Jackson,04 Mar 2019
Nico di Angelo/Will Solace,04 Mar 2019
Annabeth Chase & Percy Jackson,04 Mar 2019
Nico di Angelo/Will Solace,04 Mar 2019
Artemis/Percy Jackson,04 Mar 2019
Nico di Angelo/Will Solace,03 Mar 2019
Nico di Angelo/Will Solace,03 Mar 2019
Nico di Angelo/Percy Jackson,03 Mar 2019
Nico di Angelo/Percy Jackson,03 Mar 2019
Annabeth Chase/Percy Jackson,03 Mar 2019
Nico di Angelo/Will Solace,03 Mar 2019
Annabeth Chase/Percy Jackson,03 Mar 2019
Paul Blofis/Sally Jackson,03 Mar 2019
Percy Jackson/Piper McLean,03 Mar 2019
Nico di Angelo & Jason Grace,03 Mar 2019
Nico di Angelo/Will Solace,03 Mar 2019
Annabeth Chase/Percy Jackson,03 Mar 2019
Nico di Angelo/Will Solace,03 Mar 2019
Other Relationship Tags to Be Added,03 Mar 2019
Annabeth Chase/Percy Jackson,03 Mar 2019
Annabeth Chase/Percy Jackson (Past),03 Mar 2019
Annabeth Chase & Percy Jackson,03 Mar 2019
Percy Jackson & Sally Jackson,03 Mar 2019
Percy Jackson & Triton,03 Mar 2019
Percy Jackson & Grover Underwood,03 Mar 2019
Nico di Angelo & Percy Jackson,03 Mar 2019
Luke Castellan & Percy Jackson,03 Mar 2019
Nico di Angelo/Percy Jackson,03 Mar 2019
Annabeth Chase/Percy Jackson,03 Mar 2019
Jason Grace/Piper McLean,03 Mar 2019
Hazel Levesque/Frank Zhang,03 Mar 2019
Nico di Angelo/Will Solace,03 Mar 2019
Annabeth Chase/Percy Jackson,03 Mar 2019
Jason Grace/Piper McLean,03 Mar 2019
Hazel Levesque/Frank Zhang,03 Mar 2019
Calypso/Leo Valdez,03 Mar 2019
Thalia Grace/Reyna Avila Ramírez-Arellano,03 Mar 2019
Magnus Chase/Alex Fierro,03 Mar 2019
Apollo/OC,01 Mar 2019
Thalia Grace/Luke Castellan,01 Mar 2019
Leo Valdez/OC,01 Mar 2019
Jason Grace/Reyna Avila Ramírez-Arellano,01 Mar 2019
Hazel Levesque/Frank Zhang,01 Mar 2019
Nico di Angelo/Will Solace,01 Mar 2019
Nico di Angelo/Jason Grace,01 Mar 2019
Annabeth Chase/Percy Jackson,01 Mar 2019
Hazel Levesque/Frank Zhang,01 Mar 2019
Calypso/Piper McLean,01 Mar 2019
side ships - Relationship,01 Mar 2019
Annabeth Chase/Percy Jackson,01 Mar 2019
Sally Jackson/Poseidon,01 Mar 2019
Poseidon & Triton,01 Mar 2019
Percy Jackson & Poseidon,01 Mar 2019
Amphitrite/Poseidon (Percy Jackson),01 Mar 2019
Hades & Poseidon & Zeus (Percy Jackson),01 Mar 2019
Hades & Hestia (Percy Jackson),01 Mar 2019
Apollo & Artemis (Percy Jackson),01 Mar 2019
Ares & Percy Jackson,01 Mar 2019
Kronos & Rhea,01 Mar 2019
Gaea/Ouranos (Percy Jackson),01 Mar 2019
Gaea/Tartarus (Percy Jackson),01 Mar 2019
Annabeth Chase/Percy Jackson,01 Mar 2019
Percy Jackson & Piper McLean,01 Mar 2019
Percy Jackson & Triton,01 Mar 2019
Thalia Grace & Percy Jackson,01 Mar 2019
Demigods & Hera (Percy Jackson),01 Mar 2019
Chiron & Dionysus (Percy Jackson),01 Mar 2019
Annabeth Chase/Percy Jackson,01 Mar 2019
Paul Blofis/Sally Jackson,01 Mar 2019
Annabeth Chase/Percy Jackson,01 Mar 2019
Luke Castellan & Annabeth Chase & Thalia Grace,01 Mar 2019
Nico di Angelo/Percy Jackson (One-Sided),01 Mar 2019
Hera/Zeus (Percy Jackson),01 Mar 2019
Hades/Persephone (Percy Jackson),01 Mar 2019
Sally Jackson/Poseidon (past),01 Mar 2019
Amphitrite/Poseidon (Percy Jackson),01 Mar 2019
Katie Gardner/Travis Stoll,01 Mar 2019
Clarisse La Rue/Chris Rodriguez,01 Mar 2019
Apollo & Artemis,01 Mar 2019
Luke Castellan/Thalia Grace,01 Mar 2019
Jason Grace & Thalia Grace,01 Mar 2019
Aphrodite/Ares/Hephaestus (Percy Jackson),01 Mar 2019
Nico di Angelo/Will Solace (one-sided),01 Mar 2019
Percy Jackson/Apollo,01 Mar 2019
Luke Castellan & Percy Jackson,01 Mar 2019
Annabeth Chase/Percy Jackson,01 Mar 2019
Percy Jackson & Sally Jackson,01 Mar 2019
Nico di Angelo/Will Solace,01 Mar 2019
Annabeth Chase/Percy Jackson,01 Mar 2019
Hazel Levesque/Frank Zhang,01 Mar 2019
Nico di Angelo/Will Solace,01 Mar 2019
Annabeth Chase/Percy Jackson,01 Mar 2019
Calypso/Leo Valdez,01 Mar 2019
Jason Grace/Piper McLean,01 Mar 2019
Nico di Angelo/Will Solace,01 Mar 2019
Annabeth Chase/Percy Jackson,01 Mar 2019
Calypso/Leo Valdez,01 Mar 2019
Hazel Levesque/Frank Zhang,01 Mar 2019
Jason Grace/Piper McLean,01 Mar 2019
Annabeth Chase/Percy Jackson,01 Mar 2019
Jason Grace/Percy Jackson,01 Mar 2019
Annabeth Chase/Piper McLean,01 Mar 2019
Thought it is MINOR BAckground same with jason/piper being minor,01 Mar 2019
percabeth is in this but not endgame,01 Mar 2019
Calypso/Leo Valdez,01 Mar 2019
Jason Grace/Piper McLean,01 Mar 2019
Annabeth Chase/Percy Jackson,01 Mar 2019
Jo/Emmie,01 Mar 2019
Nico di Angelo/Will Solace,01 Mar 2019
Hazel Levesque/Frank Zhang,01 Mar 2019
Dakota/Jason Grace,01 Mar 2019
Jason Grace/Piper McLean,01 Mar 2019
Annabeth Chase/Percy Jackson,01 Mar 2019
Hazel Levesque/Frank Zhang,01 Mar 2019
Leo Valdez/Original Female Character(s),01 Mar 2019
Jason Grace/Percy Jackson,01 Mar 2019
Nico di Angelo/Will Solace,27 Feb 2019
Nico di Angelo & Will Solace,27 Feb 2019
Nico di Angelo/Will Solace,27 Feb 2019
Piper McLean/Reyna Avila Ramírez-Arellano,27 Feb 2019
Thalia Grace/Reyna Avila Ramírez-Arellano,27 Feb 2019
Annabeth Chase/Reyna Avila Ramírez-Arellano,27 Feb 2019
Annabeth Chase/Piper McLean,27 Feb 2019
Silena Beauregard/Clarisse La Rue,27 Feb 2019
Nico di Angelo/Will Solace,27 Feb 2019
Drew Tanaka/Her Inner Demons,27 Feb 2019
Drew Tanaka & Will Solace,27 Feb 2019
Will Solace & Drew Tanaka,27 Feb 2019
Nico di Angelo/Will Solace,27 Feb 2019
Annabeth Chase/Percy Jackson,27 Feb 2019
Athena/Frederick Chase,27 Feb 2019
hera/frederick chase,27 Feb 2019
Annabeth Chase/Percy Jackson,27 Feb 2019
Jason Grace/Piper McLean,27 Feb 2019
Jason Grace/Piper McLean,27 Feb 2019
Nico di Angelo/Will Solace,27 Feb 2019
Minor or Background Relationship(s),27 Feb 2019
Sally Jackson/Poseidon,27 Feb 2019
Paul Blofis/Sally Jackson,27 Feb 2019
Sally Jackson/Gabe Ugliano,27 Feb 2019
Percy Jackson & Sally Jackson,27 Feb 2019
Percy Jackson & Poseidon,27 Feb 2019
Nico di Angelo/Will Solace,27 Feb 2019
Annabeth Chase/Percy Jackson,27 Feb 2019
Jason Grace/Percy Jackson,27 Feb 2019
Thalia Grace/Reyna Avila Ramírez-Arellano,27 Feb 2019
Jason Grace/Piper McLean,27 Feb 2019
Leo Valdez/Frank Zhang,27 Feb 2019
Silena Beauregard/Charles Beckendorf,27 Feb 2019
Clarisse La Rue/Chris Rodriguez,27 Feb 2019
Rachel Elizabeth Dare & Octavian,27 Feb 2019
Magnus Chase & Alex Fierro,27 Feb 2019
Halfborn Gunderson/Mallory Keen,27 Feb 2019
Lou Ellen/Cecil Markowitz,27 Feb 2019
Nico di Angelo & Hazel Levesque,27 Feb 2019
Solangelo - Relationship,27 Feb 2019
Nico di Angelo/Will Solace,27 Feb 2019
Nico di Angelo/Percy Jackson,27 Feb 2019
onesided - Relationship,27 Feb 2019
Annabeth Chase/Percy Jackson,27 Feb 2019
percabeth - Relationship,27 Feb 2019
Jason Grace/Piper McLean,27 Feb 2019
Cecil Markowitz & Will Solace,27 Feb 2019
Lou Ellen Blackstone & Will Solace,27 Feb 2019
Percy Jackson/Grover Underwood,27 Feb 2019
Hazel Levesque/Leo Valdez/Frank Zhang,27 Feb 2019
Annabeth Chase/Percy Jackson,27 Feb 2019
Annabeth Chase & Percy Jackson,27 Feb 2019
Bianca di Angelo & Nico di Angelo,27 Feb 2019
Nico di Angelo/Will Solace,27 Feb 2019
Thalia Grace/Zoë Nightshade,25 Feb 2019
Nico di Angelo/Percy Jackson,25 Feb 2019
Nico di Angelo/Will Solace,25 Feb 2019
Hazel Levesque/Frank Zhang,25 Feb 2019
Percy Jackson/Annabeth Chase,25 Feb 2019
Maria di Angelo/Hades,25 Feb 2019
Annabeth Chase/Percy Jackson,25 Feb 2019
Silena Beauregard/Charles Beckendorf,25 Feb 2019
Nico di Angelo/Percy Jackson,25 Feb 2019
pipeyna,25 Feb 2019
piperxreyna,25 Feb 2019
background solangelo - Relationship,25 Feb 2019
Nico di Angelo/Percy Jackson,25 Feb 2019
Annabeth Chase/Percy Jackson,25 Feb 2019
Annabeth Chase/Jason Grace,25 Feb 2019
Nico di Angelo/Will Solace,25 Feb 2019
Hazel Levesque/Frank Zhang,25 Feb 2019
Calypso/Reyna Avila Ramírez-Arellano,25 Feb 2019
Piper McLean/Leo Valdez,25 Feb 2019
Nico di Angelo/Leo Valdez,25 Feb 2019
Nico di Angelo/Will Solace,25 Feb 2019
Nico di Angelo & Will Solace,25 Feb 2019
Nico di Angelo/Will Solace,25 Feb 2019
Hazel Levesque/Frank Zhang,25 Feb 2019
Thalia Grace/Reyna Avila Ramírez-Arellano,25 Feb 2019
Gleeson Hedge/Mellie,25 Feb 2019
Jason Grace/Piper McLean,25 Feb 2019
Juniper/Grover Underwood,25 Feb 2019
Annabeth Chase/Percy Jackson,25 Feb 2019
Calypso/Leo Valdez,25 Feb 2019
Clarisse La Rue/Chris Rodriguez,25 Feb 2019
Hades/Persephone (Percy Jackson),25 Feb 2019
Nico di Angelo/Will Solace,25 Feb 2019
Jason Grace/Percy Jackson,25 Feb 2019
Percy Jackson & Leo Valdez,25 Feb 2019
Leo Valdez & Sally Jackson,25 Feb 2019
Annabeth Chase/Percy Jackson,25 Feb 2019
Jason Grace/Piper McLean,25 Feb 2019
Hazel Levesque/Frank Zhang,25 Feb 2019
Paul Blofis/Sally Jackson,25 Feb 2019
Piper McLean & Leo Valdez,25 Feb 2019
Leo Valdez & Everyone,25 Feb 2019
Annabeth Chase/Percy Jackson,25 Feb 2019
Luke Castellan/Original Female Character(s),25 Feb 2019
Annabeth Chase/Percy Jackson,25 Feb 2019
Piper McLean/Jason Grace,25 Feb 2019
Artemis/Zoe Nightshade,25 Feb 2019
Jason Grace/Percy Jackson,25 Feb 2019
Annabeth Chase/Piper McLean,25 Feb 2019
Juniper/Grover Underwood,25 Feb 2019
Nico di Angelo/Leo Valdez,25 Feb 2019
Silena Beauregard/Clarisse La Rue,25 Feb 2019
Hazel Levesque/Leo Valdez/Frank Zhang,23 Feb 2019
Hazel Levesque/Frank Zhang,23 Feb 2019
Nico di Angelo/Will Solace,23 Feb 2019
Hazel Levesque/Leo Valdez/Frank Zhang,23 Feb 2019
Jason Grace/Piper McLean,23 Feb 2019
Nico di Angelo/Butch Walker,23 Feb 2019
Nico di Angelo/Will Solace,23 Feb 2019
Jason Grace/Piper McLean,23 Feb 2019
Percy Jackson/Annabeth Chase,23 Feb 2019
Hazel Levesque/Frank Zhang,23 Feb 2019
Nico di Angelo/Will Solace,23 Feb 2019
Nico di Angelo/Will Solace,23 Feb 2019
Hazel Levesque/Frank Zhang,23 Feb 2019
Thalia Grace/Reyna Avila Ramírez-Arellano,23 Feb 2019
Annabeth Chase/Percy Jackson,23 Feb 2019
Jason Grace/Piper McLean,23 Feb 2019
Calypso/Leo Valdez,23 Feb 2019
Will Solace/Drew Tanaka,23 Feb 2019
Annabeth Chase/Percy Jackson,23 Feb 2019
(mentioned) - Relationship,23 Feb 2019
Annabeth Chase/Percy Jackson,23 Feb 2019
Annabeth Chase/Percy Jackson,23 Feb 2019
One-sided Athena/Percy,23 Feb 2019
Nico di Angelo/Will Solace,23 Feb 2019
OC/OC,23 Feb 2019
Hazel Levesque/Frank Zhang,23 Feb 2019
To be announced,23 Feb 2019
Other Relationship Tags to Be Added,23 Feb 2019
Nico di Angelo/Percy Jackson,23 Feb 2019
percabeth - Relationship,23 Feb 2019
Annabeth Chase/Reyna Avila Ramírez-Arellano,23 Feb 2019
Annabeth Chase/Percy Jackson,23 Feb 2019
Percy Jackson/Original Male Character(s),23 Feb 2019
Nico di Angelo/Will Solace,23 Feb 2019
Nico di Angelo/Percy Jackson,23 Feb 2019
Apollo/Percy Jackson,23 Feb 2019
Percy Jackson & Original Character(s),21 Feb 2019
Nico di Angelo & Original Female Character(s),21 Feb 2019
Sally Jackson/Gabe Ugliano,21 Feb 2019
Percy Jackson & Sally Jackson,21 Feb 2019
Sally Jackson & Original Character(s),21 Feb 2019
Annabeth Chase/Percy Jackson,21 Feb 2019
Charles Beckendorf/Original Female Character(s),21 Feb 2019
Annabeth Chase/Percy Jackson,21 Feb 2019
Annabeth Chase/Percy Jackson,21 Feb 2019
Annabeth Chase/Percy Jackson,21 Feb 2019
Nico di Angelo/Will Solace,21 Feb 2019
Nico di Angelo/Will Solace,21 Feb 2019
Annabeth Chase/Percy Jackson,21 Feb 2019
Connor Stoll/OC,21 Feb 2019
May Castellan/Hermes,21 Feb 2019
One-sided Aphrodite/Percy Jackson,21 Feb 2019
Nico di Angelo/Leo Valdez,21 Feb 2019
Percy Jackson/Kronos,21 Feb 2019
Hera/Zeus (Percy Jackson),21 Feb 2019
Hades/Persephone (Percy Jackson),21 Feb 2019
